Trajectories;;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;;
;;1 0;;;1 1;;;1 2;;;1 3;;;1 4;;;1 5;;;1 6;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
;;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm
101;0;-346.555542;-2087.392822;61.036659;655.785339;-2118.147949;55.044098;155.806641;-2587.745117;60.621304;632.907837;-3061.122559;54.67786;-354.349609;-3033.67627;59.750084;;;;;;
102;0;-346.569763;-2087.395508;61.121788;655.724854;-2118.189697;55.249397;155.77298;-2587.754395;60.609783;632.942688;-3061.10791;54.635635;-354.373444;-3033.686768;59.769226;;;;;;
103;0;-346.544281;-2087.358643;61.013287;655.805725;-2118.130127;55.035851;155.798187;-2587.752441;60.613445;632.938293;-3061.124512;54.665668;-354.350739;-3033.686523;59.750984;;;;;;
104;0;-346.539551;-2087.392578;61.071518;655.771973;-2118.138184;55.039169;155.790176;-2587.739258;60.57526;632.933167;-3061.102783;54.652241;-354.361908;-3033.692139;59.732281;;;;;;
105;0;-346.543274;-2087.359863;60.974255;655.779114;-2118.131104;55.016079;155.813446;-2587.734619;60.598812;632.91156;-3061.124756;54.656994;-354.399658;-3033.710205;59.722397;;;;;;
106;0;-346.536163;-2087.372559;60.994579;655.702576;-2118.202393;55.254612;155.805176;-2587.743896;60.594326;632.941711;-3061.108398;54.632378;-354.336151;-3033.698975;59.722672;;;;;;
107;0;-346.527435;-2087.362793;60.990311;655.815796;-2118.14502;55.021854;155.843063;-2587.746094;60.626225;632.924316;-3061.143799;54.654064;-354.337219;-3033.687988;59.773788;;;;;;
108;0;-346.53241;-2087.388916;61.052204;655.712952;-2118.158447;55.208809;155.785416;-2587.723877;60.602364;632.950439;-3061.130615;54.625069;-354.331238;-3033.676758;59.789639;;;;;;
109;0;-346.537384;-2087.377197;61.015831;655.724976;-2118.179199;55.233322;155.834625;-2587.729492;60.596066;632.942932;-3061.149414;54.665131;-354.319885;-3033.69873;59.72982;;;;;;
110;0;-346.535736;-2087.35083;61.071545;655.81311;-2118.104248;55.048161;155.814178;-2587.747314;60.591003;632.952332;-3061.110596;54.631264;-354.324341;-3033.675049;59.762154;;;;;;
111;0;-346.522064;-2087.366211;61.041531;655.801758;-2118.132812;55.075676;155.80928;-2587.739502;60.602249;632.932373;-3061.111084;54.641602;-354.356445;-3033.705078;59.762451;;;;;;
112;0;-346.526398;-2087.362793;61.069283;655.772461;-2118.154053;55.034561;155.786148;-2587.739746;60.59734;632.935608;-3061.130371;54.650646;-354.373291;-3033.675781;59.786079;;;;;;
113;0;-346.549347;-2087.333008;61.029911;655.760437;-2118.117432;55.023743;155.793503;-2587.749756;60.603127;632.906677;-3061.116211;54.68663;-354.341492;-3033.68042;59.770813;;;;;;
114;0;-346.566193;-2087.35498;61.005791;655.767395;-2118.132568;55.079708;155.780197;-2587.749268;60.59444;632.960083;-3061.113525;54.672478;-354.332489;-3033.690918;59.737816;;;;;;
115;0;-346.534271;-2087.359131;61.044537;655.806335;-2118.146484;55.027924;155.798477;-2587.752441;60.581211;632.96759;-3061.133545;54.671749;-354.345703;-3033.692383;59.773727;;;;;;
116;0;-346.535522;-2087.349609;60.971291;655.797058;-2118.157227;55.009766;155.80603;-2587.73877;60.549541;632.912231;-3061.12793;54.652359;-354.360413;-3033.693359;59.734451;;;;;;
117;0;-346.560608;-2087.365967;61.040695;655.795227;-2118.13916;55.02914;155.804016;-2587.749268;60.616444;632.943176;-3061.114258;54.669289;-354.353912;-3033.670898;59.781837;;;;;;
118;0;-346.573364;-2087.398926;61.104336;655.789124;-2118.148193;55.056877;155.784821;-2587.737061;60.592731;632.912903;-3061.119873;54.67757;-354.366364;-3033.67627;59.740147;;;;;;
119;0;-346.536163;-2087.36084;61.023785;655.763916;-2118.123779;55.030777;155.830933;-2587.740723;60.61673;632.960938;-3061.11084;54.687244;-354.361359;-3033.676758;59.791637;;;;;;
120;0;-346.52774;-2087.366211;61.006733;655.718506;-2118.206299;55.226475;155.813019;-2587.746826;60.594582;632.956543;-3061.108154;54.687061;-354.373566;-3033.672363;59.80336;;;;;;
